system_id,proper_ligand_chain
7xvw__1__2.A__2.C,2.C
7xxc__1__1.A_1.B_1.D__1.M,1.M
7xxd__1__1.B__1.K_1.L,1.K
7xxm__1__1.A_1.B_1.C__1.K,1.K
7xxn__1__2.A__2.B_2.C,2.B
7xxp__1__1.A_1.B_1.C__1.K,1.K
7xyj__1__1.A_1.B__1.E_1.F,1.E
7xzr__1__1.A_1.C__1.E_1.F,1.E
7y0f__1__1.B__1.G,1.G
7y4a__1__1.A__1.I_1.J_1.K,1.K
7y4g__1__2.A__2.D,2.D
7y4u__1__1.A__1.B,1.B
7y88__1__1.A__1.B_1.C_1.D,1.B
7y9o__1__1.A__1.B_1.C,1.B
7ya4__1__1.A__1.E_1.F,1.E
7yd2__1__1.A_1.B__1.K,1.K
7ydx__1__2.B__2.H,2.H
7yh9__1__1.A__1.G_1.H_1.I,1.I
7yhb__1__1.A__1.C_1.D_1.E,1.E
7yhc__1__1.A__1.I_1.J_1.K,1.K
7yj9__1__1.A_2.A__2.B,2.B
7yja__1__1.A_1.B__1.E,1.E
7yjb__1__1.A_2.A__2.B,2.B
7yop__1__1.A_1.B__1.E,1.E
7yoq__1__1.B__1.D,1.D
7yp5__1__1.B__1.J_1.K,1.J
7yp6__1__1.A__1.D_1.E_1.L,1.D
7ypu__1__1.A_1.B__1.I,1.I
7ypv__1__1.A_1.B__1.J,1.J
7yqf__1__1.B__1.J_1.K,1.J
7ys8__1__1.B__1.E_1.F,1.E
7ysx__1__1.B__1.J,1.J
7yv4__1__1.A__1.B,1.B
7yxd__1__1.A__1.I,1.I
7yxe__1__1.A__1.C,1.C
7yxl__1__1.A__1.C_1.E,1.E
7yzq__1__1.C__1.O_1.P_1.Q,1.O
7yzs__1__1.A__1.B,1.B
7yzu__1__1.A__1.B,1.B
7z1g__1__1.A__1.B_1.D,1.B
7z1r__1__1.A_2.A__1.B,1.B
7z1v__1__1.A__1.C,1.C
7z1w__1__1.A__1.C,1.C
7z2q__1__1.A__1.C,1.C
7z39__1__1.A__1.C,1.C
7z3y__1__1.A__1.D,1.D
7z41__1__1.A__1.C,1.C
7z5b__1__1.A__1.D,1.D
7z5n__1__1.A__1.I_1.L_1.M,1.I
7z5r__1__1.A__1.D,1.D
7z5u__1__1.A__1.B_1.C,1.C
7z5x__1__1.A__1.C,1.C
7z62__1__2.A_2.B__2.C_2.D,2.D
7z63__1__1.A__1.E_1.F,1.F
7z6z__1__1.A__1.H_1.I_1.J_1.O_1.Y,1.H
7z70__1__1.A__1.C_1.E_1.L,1.C
7z74__1__1.A__1.B_1.C,1.B
7z78__1__1.A__1.D,1.D
7z9t__1__1.A__1.C,1.C
7za0__1__1.A__1.B,1.B
7zaa__1__1.A__1.C,1.C
7zbv__1__1.A__1.B_1.E,1.E
7zcl__1__1.A__1.C_1.D,1.C
7zeg__1__1.A__1.C,1.C
7zer__1__1.A__1.B_1.C,1.B
7zfv__1__1.A__1.C,1.C
7zg9__1__1.A__1.C,1.C
7zgb__1__1.A__1.B,1.B
7zgc__1__1.A__1.B,1.B
7zgd__1__1.A__1.B,1.B
7zhf__1__1.A_2.A__1.B_1.C,1.B
7zi0__1__1.A__1.C,1.C
7zif__1__1.A__1.B_1.C,1.C
7zig__1__1.A__1.B_1.C,1.B
7zih__1__1.A__1.B_1.C,1.C
7zii__1__1.A__1.B_1.C,1.C
7zij__1__1.A__1.B_1.C,1.B
7zik__1__1.A__1.D,1.D
7ziy__1__1.A__1.C,1.C
7zj0__1__1.A__1.C,1.C
7zjp__1__1.A__1.C,1.C
7zjq__1__1.A__1.E,1.E
7zks__1__1.A__1.B,1.B
7zkw__1__1.A_1.C__1.E,1.E
7zkx__1__1.A__1.B_1.L,1.B
7zl5__1__1.A__1.C_1.D_1.E,1.E
7znw__1__1.B__1.E_1.F,1.E
7zo2__1__2.A__2.B_2.C_2.F,2.F
7zo3__1__2.A__2.B_2.C_2.G,2.G
7zo4__1__1.A__1.B_1.C_1.G,1.G
7zp7__1__1.A__1.C,1.C
7zq3__1__2.A_2.B__2.C_2.D,2.C
7zqk__1__1.A_1.B__1.C_1.D,1.C
7zsm__1__1.A_2.A__1.B,1.B
7zso__1__1.A_1.C__1.S,1.S
7zsq__1__1.B_1.C__1.G_1.I,1.G
7zst__1__1.B_1.C__1.H,1.H
7zwb__1__1.A__1.D,1.D
7zxw__1__1.A__1.C_1.D_1.G,1.D
7zxz__1__2.A_2.B__2.E,2.E
7zym__1__1.A__1.B,1.B
7zyn__1__1.A__1.B,1.B
7zz7__1__1.A_4.A__4.C,4.C
7zzc__1__1.A_4.A__4.D,4.D
7zzf__1__2.A_3.A__3.C,3.C
7zzg__1__2.A_3.A__2.C,2.C
7zzt__1__1.A__1.D_1.J,1.J
7zzu__1__1.A__1.M_1.P,1.P
7zzw__1__1.A__1.E_1.M,1.M
7zzw__1__1.A__1.I_1.L,1.L
8a0b__1__1.A__1.D_1.H,1.H
8a0t__1__1.A__1.C,1.C
8a12__1__1.A__1.D_1.G,1.D
8a2p__1__1.A__1.B,1.B
8a34__1__1.A__1.C_1.D,1.C
8a3a__1__1.A__1.B,1.B
8a4a__1__1.B__1.C_1.D,1.C
8a4q__1__1.A_2.A__1.B,1.B
8a4u__1__1.A__1.E_1.J,1.E
8a56__1__1.A_1.B__1.I,1.I
8a66__1__1.A__1.C,1.C
8a70__1__1.A_1.B__1.D_1.E_1.F_1.G,1.G
8a7a__1__1.A_1.B__1.C_1.E_1.F_1.G,1.G
8a7i__1__1.A__1.C,1.C
8a8t__1__2.A__2.B_2.C,2.B
8a9i__1__1.A__1.B,1.B
8a9v__1__2.A_3.A__3.C,3.C
8ab3__1__1.A_1.B_1.C_1.D__1.L,1.L
8abu__1__1.A__1.D,1.D
8acm__1__1.A__1.E,1.E
8ad7__1__1.A__1.J,1.J
8adf__1__1.B__1.D,1.D
8adj__1__1.A__1.D,1.D
8aev__1__1.A__1.G,1.G
8ai1__1__1.B__1.M_1.O,1.O
8ai3__1__1.A__1.C_1.E,1.E
8ai7__1__1.A__1.Q,1.Q
8aij__1__1.C_1.D__1.O_1.P_1.Q,1.Q
8ajk__1__1.A_1.B__1.D_1.E,1.D
8ajv__1__1.B_1.C__1.N_1.S,1.N
8ak3__1__1.A__1.B_1.C,1.B
8ak6__1__1.A__1.E_1.F_1.H,1.E
8akg__1__1.A__1.F_1.O,1.O
8am2__1__1.A__1.D,1.D
8aop__1__1.A__1.E,1.E
8aoz__1__2.A__2.B_2.C_2.D,2.C
8apt__1__1.A_2.A__1.B,1.B
8apu__1__1.A_2.A__1.B,1.B
8apw__1__1.A_2.A__2.C,2.C
8aqf__1__1.A__1.B,1.B
8aqj__1__1.A_3.A__3.B,3.B
8arj__1__1.A__1.B,1.B
8ase__1__1.B__1.F_1.G,1.F
8asf__1__1.B__1.E,1.E
8atb__1__1.A__1.C,1.C
8atl__1__1.A__1.C,1.C
8av1__1__1.B__1.J_1.M,1.M
8avq__1__1.A__1.H_1.O_1.R,1.H
8aw1__1__1.A__1.C,1.C
8aw7__1__1.A__1.B_1.C,1.C
8ax0__1__1.B__1.H,1.H
8axp__1__1.A__1.C,1.C
8ay6__1__1.A_1.B__1.C,1.C
8ay8__1__1.A_1.B__1.D,1.D
8aya__1__1.A_1.B__1.C,1.C
8azd__1__1.A__1.C,1.C
8azi__1__1.A__1.C,1.C
8azl__1__1.A__1.C,1.C
8azm__1__1.A__1.C,1.C
8azo__1__1.A__1.C,1.C
8azp__1__1.A__1.C,1.C
8b08__1__1.B__1.E,1.E
8b1n__1__1.A_1.B__1.C_1.Q,1.Q
8b1v__1__1.A_1.B__1.E,1.E
8b25__1__1.A_1.B__1.J,1.J
8b35__1__1.A_1.B__1.E,1.E
8b5s__1__1.B__1.D,1.D
8b62__1__1.A__1.C,1.C
8b6m__1__1.A_1.B__1.E,1.E
8b72__1__1.A_1.B__1.F_1.G,1.F
8b75__1__1.A__1.B,1.B
8b80__1__1.A__1.F_1.G,1.F
8b8h__1__1.A_1.B__1.H_1.K,1.H
8b8x__1__1.A_1.C__1.E,1.E
8b8z__1__1.A__1.E,1.E
8b91__1__1.A__1.E,1.E
8b9h__1__1.A__1.B,1.B
8b9u__1__1.A_1.B__1.C_1.H,1.C
8bab__1__1.A__1.H_1.I,1.I
8baj__1__1.A__1.B,1.B
8bcy__1__1.A__1.C,1.C
8bdm__1__1.C__1.M,1.M
8bgc__1__1.A__1.F,1.F
8bgt__1__1.A_2.A__2.D,2.D
8bgz__1__1.A_1.B__1.F,1.F
8bh0__1__1.A_1.D__1.J,1.J
8bhg__1__1.B_1.C__1.K,1.K
8bi6__1__1.A__1.D,1.D
8bid__1__1.C_2.A__2.F_2.G,2.F
8bih__1__1.A_1.L__1.N,1.N
8biq__1__1.C__1.G,1.G
8bir__1__1.A_1.B__1.D,1.D
8bj3__1__1.A_1.B__1.C,1.C
8bj8__1__1.A__1.C_1.D,1.C
8bjd__1__1.A__1.B,1.B
8bji__1__1.A_1.B__1.C_1.D,1.C
8bjt__1__1.A__1.C,1.C
8bju__1__1.A__1.B,1.B
8bk0__1__1.A__1.H,1.H
8bkn__1__1.A__1.B_1.E,1.B
8blt__1__1.A_1.B__1.I,1.I
8blz__1__1.A__1.B_1.D,1.B
8bnx__1__1.A__1.C,1.C
8bo3__1__1.A__1.B,1.B
8bo4__1__1.A__1.C,1.C
8boc__1__1.A__1.B,1.B
8bok__1__1.A__1.B,1.B
8bq4__1__1.B__1.D,1.D
8br1__1__1.C__1.K_1.L_1.M,1.K
8br5__1__1.A__1.E,1.E
8br6__1__1.A__1.C,1.C
8bsg__1__1.A__1.B,1.B
8bsl__1__1.C_1.D__1.F,1.F
8bst__1__1.A__1.R,1.R
8bt0__1__1.A__1.M,1.M
8bt2__1__1.A__1.M,1.M
8bv3__1__1.B_1.C__1.I_1.L,1.I
8bvx__1__1.A__1.D_1.F,1.D
8bxx__1__1.A__1.E_1.F,1.E
8bz6__1__1.A__1.G_1.I,1.G
8bz7__1__1.D__1.U_1.V,1.U
8bzx__1__1.A_1.B__1.E_1.F,1.E
8c08__1__1.A__1.C_1.D,1.C
8c0q__1__1.A__1.B_1.C,1.C
8c0r__1__1.A__1.B_1.C,1.C
8c1m__1__1.A__1.C,1.C
8c3g__1__1.C__1.AA,1.AA
8c3i__1__1.B__1.D,1.D
8c3n__1__1.A__1.C_1.D,1.C
8c3r__1__1.A__1.C,1.C
8c3u__1__1.A__1.C,1.C
8c47__1__1.B__1.E_1.F,1.E
8c6f__1__1.A__1.B_1.C,1.B
8c6l__1__1.A__1.C,1.C
8c6n__1__1.A__1.B,1.B
8c6o__1__1.A__1.C,1.C
8c6p__1__1.A__1.B,1.B
8c6q__1__1.A__1.C,1.C
8c6s__1__1.A__1.C,1.C
8c6z__1__1.A__1.C_1.E,1.E
8c70__1__1.A__1.B,1.B
8c71__1__1.A__1.C,1.C
8c74__1__1.A__1.C,1.C
8c9d__1__1.A__1.D,1.D
8c9e__1__1.A__1.C,1.C
8c9s__1__1.B__1.F_1.G,1.G
8caa__1__1.B__1.F,1.F
8cav__1__1.A__1.G_1.H,1.G
8cbh__1__1.A__1.C,1.C
8cbr__1__1.A_1.B_1.D__1.E,1.E
8cbs__1__1.B_1.C_1.D__1.L,1.L
8cbu__1__1.A_1.B_1.D__1.M,1.M
8ccj__1__1.A_2.A__1.B_1.J,1.B
8cdw__1__1.B__1.D,1.D
8cdx__1__1.A__1.C_1.D,1.D
8cdz__1__1.A__1.C_1.D_1.E,1.E
8ce3__1__1.A_1.B__1.E,1.E
8ceq__1__1.A__1.C,1.C
8ces__1__1.A__1.C,1.C
8cev__1__1.A__1.C,1.C
8cex__1__1.A__1.D,1.D
8cey__1__1.A__1.D,1.D
8cfb__1__1.A__1.L,1.L
8cfk__1__1.A_1.D__1.H_1.I,1.H
8cg0__1__1.D__1.IA,1.IA
8ch9__1__1.G__1.BB,1.BB
8chc__1__1.A__1.B,1.B
8chk__1__1.A__1.D,1.D
8chl__1__1.A__1.C_1.E,1.C
8ci0__1__1.A_1.B__1.D_1.E,1.E
8cij__1__1.A__1.B,1.B
8cje__1__1.A__1.F,1.F
8cjg__1__1.A__1.D,1.D
8cji__1__1.A__1.B_1.C,1.C
8cjj__1__1.A__1.B_1.C,1.C
8cjk__1__1.A__1.B_1.C,1.C
8cjo__1__1.A__1.B_1.C,1.C
8cju__1__1.A__1.B,1.B
8ck5__1__1.A__1.D,1.D
8ck9__1__1.A__1.B_1.C,1.B
8ckc__1__2.A__2.D,2.D
8ckh__1__1.A_1.B__1.D,1.D
8ckn__1__1.A__1.B_1.C,1.B
8clq__1__1.A__1.E,1.E
8cnh__1__1.A__1.B_1.L,1.B
8cnt__1__1.A__1.B_1.C,1.C
8con__1__1.A_2.A__2.D_2.J,2.D
8cou__1__1.A__1.V,1.V
8cov__1__1.A__1.D,1.D
8cp4__1__2.A__2.H_2.I,2.I
8cp7__1__1.A__1.B,1.B
8cp9__1__1.A__1.C_1.D,1.C
8cpb__1__1.B__1.H,1.H
8cqv__1__1.A_1.B__1.K_1.P,1.K
8crj__1__1.A__1.B,1.B
8crl__1__1.A__1.C,1.C
8cta__1__1.A_1.B_1.D__1.Q,1.Q
8cu7__1__1.A__1.C,1.C
8cvc__1__1.A__1.C_1.J_1.O_1.P,1.J
8cvd__1__1.A__1.B_1.K_1.L,1.K
8cvf__1__1.A__1.D_1.E_1.F_1.G,1.D
8cyu__1__1.A_1.B__1.F,1.F
8cyz__1__1.A_1.C__1.E,1.E
8cz7__1__1.A_1.C__1.E,1.E
8czl__1__1.A__1.C_1.D,1.D
8d0e__1__1.B__1.D,1.D
8d0f__1__1.A_1.B__1.D,1.D
8d19__1__1.A__1.C_1.D,1.D
8d5b__1__1.A__1.B_1.G_1.H,1.B
8d6c__1__1.A__1.F,1.F
8d6e__1__1.A__1.D,1.D
8d6f__1__1.A__1.D,1.D
8d6m__1__1.A__1.C,1.C
8d6t__1__1.A__1.C,1.C
8d8p__1__1.A__1.C_1.D,1.C
8d9b__1__1.A__1.C_1.D,1.C
8d9c__1__1.A__1.C_1.D,1.C
8db0__1__1.A__1.E,1.E
8dcd__1__1.A__1.E_1.Q_1.R,1.E
8ddb__1__1.A__1.B_1.C_1.E,1.E
8deg__1__1.A__1.B,1.B
8dhw__1__1.B_2.B__2.I,2.I
8dil__1__1.A_1.B__1.K_1.L_1.M,1.L
8dj6__1__1.C__1.F_1.O,1.F
8djv__1__1.A__1.B_1.C_1.D,1.D
8dk4__1__1.A__1.C,1.C
8dkt__1__1.A_1.B__1.D_1.E,1.D
8dml__1__1.B__1.J,1.J
8dmt__1__1.A__1.E,1.E
8dmu__1__1.A__1.E_1.H,1.E
8doc__1__2.A__2.B_2.D_2.E,2.E
8dos__1__1.A_1.B__1.C_1.G,1.C
8dpb__1__1.A_1.B__1.I_1.J,1.I
8dqd__1__1.A__1.B,1.B
8dqh__1__1.B__1.J_1.K_1.L,1.J
8dqs__1__1.A__1.B_1.C_1.D,1.D
8dsc__1__1.B__1.L,1.L
8dsh__1__1.A_1.B__1.C,1.C
8dsm__1__1.A_1.B__1.J,1.J
8dsr__1__1.A__1.C,1.C
8dt1__1__1.B__1.J_1.K,1.J
8dt5__1__1.B__1.I_1.M_1.O,1.O
8du3__1__1.A__1.B,1.B
8du6__1__1.B__1.D,1.D
8du8__1__1.A__1.C,1.C
8du9__1__1.B__1.D,1.D
8dub__1__1.A__1.C,1.C
8duh__1__1.A__1.C,1.C
8dui__1__1.A__1.C,1.C
8duk__1__1.A__1.E,1.E
8dv7__1__1.B__1.D,1.D
8dv8__1__1.A__1.C,1.C
8dvh__1__1.A__1.C_1.D,1.C
8dvo__1__1.A__1.B_1.C_1.D,1.D
8dxk__1__1.A_1.B__1.C,1.C
8e0h__1__1.A__1.C,1.C
8e0t__1__1.C__1.F,1.F
8e1h__1__1.A__1.C_1.E_1.F,1.C
8e1o__1__1.A__1.D,1.D
8e1t__1__1.A__1.C_1.E,1.C
8e1t__1__1.A__1.D,1.D
8e1x__1__1.A__1.C,1.C
8e4s__1__1.A__1.B_1.C_1.D,1.D
8e5i__1__1.A__1.B_1.E,1.B
8e5m__1__1.A_1.E__1.U,1.U
8e80__1__1.A__1.B,1.B
8e81__1__1.A__1.B,1.B
8e9r__1__1.A_1.B__1.E_1.F,1.F
8ea6__1__1.A_1.B__1.C,1.C
8efj__1__1.A__1.D,1.D
8egf__1__1.A__1.B_1.C,1.B
8egz__1__1.B__1.I,1.I
8eip__1__1.C__1.K_1.L,1.K
8emu__1__1.A__1.E,1.E
8eni__1__2.A__2.B,2.B
8eq9__1__1.A__1.B,1.B
8eqz__1__1.A__1.C,1.C
8erb__1__1.A_1.C__1.Q,1.Q
8erd__1__1.A__1.B,1.B
8erj__1__1.A_2.C__1.I,1.I
8et0__1__1.B__1.L,1.L
8etd__1__1.B__1.E_1.F,1.F
8etl__1__1.A__1.C,1.C
8euk__1__1.A__1.B_1.M,1.B
8ewz__1__1.A__1.B_1.C_1.H,1.B
8ex1__1__1.A__1.B,1.B
8ex2__1__1.A__1.B,1.B
8ex3__1__1.A__1.B_1.C,1.C
8exl__1__1.A__1.B,1.B
8exu__1__1.A__1.B,1.B
8ez1__1__1.A_1.B__1.D,1.D
8f1g__1__1.A__1.C,1.C
8f1z__1__1.A__1.B,1.B
8f4q__1__1.A__1.F,1.F
8f4s__1__1.A__1.D_1.E,1.D
8f5v__1__1.A_1.B__1.C_1.D,1.C
8f71__1__1.B__1.E_1.F,1.E
8f73__1__1.A__1.I_1.K,1.I
8f8e__1__1.A__1.C,1.C
8f8k__1__1.A__1.F_1.G_1.I_1.J_1.K,1.F
8f8l__1__1.A__1.B_1.D_1.E,1.B
8f8m__1__1.A__1.C,1.C
8fb1__1__1.A__1.C,1.C
8fb1__1__1.A__1.D,1.D
8fcd__1__1.A_1.B__1.C,1.C
8fe6__1__1.A__1.I,1.I
8fe8__1__1.A_1.B__1.C,1.C
8fe9__1__1.A__1.B,1.B
8fgz__1__1.A__1.B,1.B
8fh4__1__1.A__1.E,1.E
8fjz__1__1.C__1.I,1.I
8fko__1__1.C__1.I,1.I
8fly__1__1.A__1.K,1.K
8flz__1__1.A__1.K,1.K
8fm0__1__1.A__1.K,1.K
8fm2__1__1.A__1.K,1.K
8fm3__1__1.A__1.K,1.K
8fm4__1__1.A__1.K,1.K
8fm5__1__1.A__1.K,1.K
8fm7__1__1.A__1.K,1.K
8fm8__1__1.A__1.K,1.K
8fmf__1__1.C_1.D__1.R_1.X,1.R
8fo5__1__1.A_1.B__1.E,1.E
8fp1__1__1.A__1.B,1.B
8fp5__1__1.A__1.C_1.D,1.C
8fqx__1__1.A__1.B_1.C,1.C
8fsi__1__1.A__1.B_1.C_1.D_1.F,1.C
8ftr__1__2.A__2.B,2.B
8fv7__1__2.A_2.B__2.C_2.D,2.C
8fve__1__1.A_2.A_2.B__2.E_2.I,2.E
8fwp__1__1.A_1.B__1.D_1.E,1.D
8fwz__1__1.B__1.E,1.E
8fx1__1__1.A__1.C,1.C
8fx2__1__1.B__1.D,1.D
8fx3__1__1.B__1.D,1.D
8fxn__1__1.A__1.B,1.B
8fy7__1__1.A_1.B__1.C,1.C
8fz1__1__1.A__1.G_1.I_1.K,1.G
8g20__1__1.A__1.C_1.D_1.G,1.C
8g3e__1__1.A__1.C,1.C
8g3s__1__1.A__1.E,1.E
8g4a__1__1.A_1.B__1.C,1.C
8g62__1__1.A__1.F_1.J_1.L,1.F
8g63__1__1.A__1.B,1.B
8g68__1__1.A__1.C,1.C
8g69__1__1.A__1.C,1.C
8g8o__1__1.B__1.E,1.E
8g8x__1__1.A__1.C,1.C
8g9d__1__1.A__1.B,1.B
8gcz__1__1.A__1.N,1.N
8gdk__1__1.A__1.O,1.O
8gds__1__1.A__1.E,1.E
8gem__1__1.A__1.B,1.B
8gen__1__2.A_3.A__3.B,3.B
8get__1__1.C__1.M,1.M
8geu__1__1.A__1.B,1.B
8gev__1__1.A__1.B,1.B
8gez__1__1.A__1.B,1.B
8gf0__1__1.A__1.B,1.B
8gfd__1__1.A__1.B,1.B
8gff__1__1.A__1.B,1.B
8gfg__1__1.A__1.B,1.B
8gfq__1__1.A__1.B,1.B
8gfs__1__1.A__1.B,1.B
8gja__1__1.A_1.B__1.G_1.H,1.G
8gjb__1__1.B__1.G_1.H,1.G
8gju__1__1.A_1.B_1.C__1.K_1.L,1.K
8gkf__1__1.A__1.J,1.J
8gkt__1__1.A_1.B__1.E,1.E
8gm5__1__1.A__1.D,1.D
8gne__1__1.A__1.B,1.B
8gne__1__1.A__1.E,1.E
8goy__1__1.A_1.B__1.E,1.E
8gpc__1__1.A__1.C_1.D_1.E,1.E
8gpd__1__1.A__1.C_1.D_1.E,1.E
8gpe__1__1.A__1.C_1.D_1.E,1.E
8grw__1__1.A_1.B__1.C_1.D,1.D
8gtg__1__1.A__1.C,1.C
8gti__1__1.A__1.H,1.H
8gtm__1__1.A__1.C,1.C
8gtv__1__1.A_2.B__2.D,2.D
8gu1__1__1.A_1.B__1.D,1.D
8gvj__1__1.A__1.B,1.B
8gwd__1__2.A__2.B_2.C,2.C
8gww__1__1.A__1.C,1.C
8gyd__1__1.A_1.B__1.K,1.K
8gyj__1__1.A_1.B__1.D_1.I,1.I
8gzc__1__1.A__1.F,1.F
8h17__1__1.A__1.B_1.C,1.C
8h2b__1__1.C_1.D__1.M_1.N,1.M
8h4q__1__1.A__1.C,1.C
8h53__1__1.A__1.E_1.F_1.P_1.Q,1.E
8h59__1__1.A__1.B,1.B
8h5y__1__1.A__1.D_1.E,1.D
8h7r__1__1.A__1.B,1.B
8h99__1__1.B__1.H_1.J_1.K,1.H
8haq__1__1.A__1.C,1.C
8hcc__1__1.B__1.I_1.J_1.K,1.I
8hcd__1__1.A__1.E_1.F_1.G,1.F
8hch__1__1.C__1.J,1.J
8hd3__1__1.A__1.C,1.C
8he2__1__1.A__1.B_1.C,1.B
8he8__1__1.A__1.D_1.E,1.E
8hf8__1__1.A__1.C,1.C
8hfh__1__1.A__1.B_1.C,1.B
8hfn__1__1.A__1.C_1.D,1.C
8hgd__1__1.A__1.B_1.C,1.B
8hjg__1__1.A__1.E_1.F,1.E
8hkd__1__1.A__1.C_1.D_1.E,1.C
8hko__1__1.A__1.D_1.E_1.G_1.H,1.H
8hlj__1__1.A__1.C,1.C
8hmn__1__1.A_1.D__1.O_1.P,1.O
8hms__1__1.A__1.E,1.E
8ho5__1__1.A__1.B,1.B
8ho6__1__1.A__1.B_1.C,1.B
8hp4__1__1.A_1.B__1.C_1.D,1.C
8hpc__1__1.A_1.H__1.P,1.P
8hrv__1__1.A_1.B_1.C__1.E_1.H,1.H
8htg__1__1.A__1.F_1.G,1.G
8hu6__1__1.D__1.K_1.L,1.L
8hul__1__1.A__1.C,1.C
8hum__1__1.A__1.C,1.C
8huu__1__1.A__1.C,1.C
8hx2__1__1.A__1.B_1.C,1.C
8hx4__1__2.A__2.B_2.C_2.D,2.C
8hx6__1__1.B__1.F,1.F
8hxh__1__1.A__1.B_1.C,1.C
8hxu__1__1.A__1.C_1.D_1.E,1.E
8hy6__1__1.A__1.C_1.D_1.E,1.E
8hyk__1__1.A__1.B_1.C,1.B
8hym__1__2.A__2.B_2.C,2.C
8hyp__1__2.A__2.B_2.C,2.C
8hz7__1__1.A__1.B_1.C,1.C
8i01__1__1.B_2.B__1.N_1.O,1.N
8i0d__1__1.A__1.B,1.B
8i19__1__1.A__1.C_1.D_1.E,1.C
8i1o__1__1.A__1.F,1.F
8i2n__1__1.A__1.C,1.C
8i2u__1__1.A__1.B_1.C,1.C
8i4i__1__1.A__1.C,1.C
8iag__1__3.A__3.C_3.D_3.E_3.G,3.C
8ie5__1__1.A__1.B,1.B
8ie6__1__1.A__1.B,1.B
8ifx__1__1.A__1.C_1.D,1.D
8im2__1__1.E__1.S_1.T_1.U,1.T
8im3__1__2.C__2.K_2.L,2.L
8in7__1__1.A__1.B,1.B
8ina__1__1.A__1.B_1.C,1.B
8iqd__1__1.A__1.E_1.G_1.H,1.H
8iqn__1__1.A__1.B,1.B
8iqt__1__1.A__1.B,1.B
8iqu__1__1.A__1.B,1.B
8iui__1__1.A__1.C,1.C
8ivg__1__1.A__1.B_1.C,1.B
8ivn__1__1.A_1.B__1.C,1.C
8ivr__1__1.A__1.B,1.B
8ivs__1__1.A_1.B__1.C,1.C
8ivt__1__1.A_1.B__1.F,1.F
8ivu__1__1.A_1.B__1.I,1.I
8iw3__1__1.A_1.B__1.C,1.C
8iw6__1__1.A_1.B__1.F,1.F
8ix9__1__2.A__2.D_2.E_2.F,2.D
8ixq__1__1.B__1.E,1.E
8izc__1__1.A_1.B__1.I,1.I
8j30__1__1.A__1.C,1.C
8j3c__1__1.A__1.B_1.C,1.C
8j40__1__1.A_2.A__1.D,1.D
8j5e__1__1.A__1.B,1.B
8j5f__1__2.A__2.B,2.B
8j5x__1__1.A__1.B,1.B
8j6n__1__1.A_1.D__1.M,1.M
8j79__1__1.B__1.R_1.W_1.X,1.R
8j7j__1__1.A_1.B__1.C,1.C
8j83__1__1.B__1.N_1.Q,1.N
8j8x__1__1.A__1.B_1.C,1.C
8j9d__1__1.D__1.M_1.N,1.N
8jb3__1__1.A__1.B,1.B
8jb3__1__1.A__1.C_1.D_1.E_1.F,1.D
8jbi__1__2.C_2.D__2.I_2.M,2.I
8jby__1__1.A__1.C,1.C
8jc5__1__1.A__1.E_1.F,1.E
8jdv__1__1.A__1.B_1.C_1.D,1.B
8jg2__1__1.A_2.A__1.C_1.D,1.C
8jg8__1__1.A__1.B,1.B
8ji2__1__1.B__1.J_1.K,1.K
8ji4__1__1.B__1.J_1.K,1.K
8jjk__1__1.A__1.B_1.F_1.G_1.H,1.B
8jjn__1__1.A__1.D_1.E,1.D
8jjq__1__1.A__1.D,1.D
8jjs__1__1.A__1.C_1.D,1.C
8jjt__1__1.A__1.D,1.D
8jk8__1__1.A__1.B_1.C_1.D,1.D
8jk9__1__1.A__1.C_1.D_1.E_1.F,1.E
8jkp__1__2.A__2.B_2.C_2.D_2.E,2.B
8jkr__1__1.A__1.B_1.G_1.H_1.I,1.B
8jmo__1__1.A__1.D,1.D
8jmp__1__1.A__1.D,1.D
8jmr__1__1.A_1.B__1.C_1.D,1.D
8jmz__1__1.A__1.C_1.E_1.J,1.C
8jot__1__1.A__1.B,1.B
8jpz__1__1.B__1.N_1.P,1.N
8jqp__1__2.A__2.C_2.D_2.E,2.C
8jqz__1__1.A_2.B__1.C,1.C
8jt3__1__1.A_1.C__1.E,1.E
8ju9__1__1.A_2.A_4.A__1.B,1.B
8jub__1__1.A_1.B_1.D__1.E,1.E
8juv__1__1.A__1.B_1.C,1.B
8jwy__1__1.A__1.B,1.B
8jya__1__1.B__1.G,1.G
8jyc__1__1.A_1.B_1.C__1.T,1.T
8jye__1__1.A_1.B_1.D__1.P,1.P
8jyf__1__1.B__1.F,1.F
8jyg__1__1.A_1.B__1.C_1.Y,1.C
8k2k__1__1.A__1.B,1.B
8k2m__1__1.A__1.B,1.B
8k4c__1__1.B__1.G,1.G
8k5y__1__1.A__1.H,1.H
8k9y__1__1.A__1.C_1.E,1.C
8ki0__1__1.A__1.C_1.D,1.C
8ki5__1__1.A__1.B,1.B
8odp__1__1.A_1.B__1.I_1.J_1.K_1.L,1.K
8ofm__1__1.B__1.HA_1.V,1.V
8og4__1__1.A__1.G_1.H,1.H
8og5__1__1.A__1.D,1.D
8og8__1__1.A__1.B,1.B
8og9__1__1.A__1.B,1.B
8ogh__1__1.A_1.B__1.M_1.R,1.M
8oha__1__1.B_1.C__1.EA_1.GA,1.GA
8oiz__1__1.B__1.J,1.J
8oku__1__1.A_1.B__1.C,1.C
